2020-09-10 02:16:13,370 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: fan
2020-09-10 02:16:13,379 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 02:17:39,201 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 03:11:21,952 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 86/100:train_score:9.034598, valid_score:8.941880
2020-09-10 03:11:58,528 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 87/100:train_score:9.034322, valid_score:8.951772
2020-09-10 03:12:35,560 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 88/100:train_score:9.033462, valid_score:8.957528
2020-09-10 03:13:12,185 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 89/100:train_score:9.032517, valid_score:9.009180
2020-09-10 03:13:49,119 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 90/100:train_score:9.044024, valid_score:8.969100
2020-09-10 03:14:25,163 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 91/100:train_score:9.035611, valid_score:8.955352
2020-09-10 03:15:01,814 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 92/100:train_score:9.034696, valid_score:8.958100
2020-09-10 03:15:38,600 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 93/100:train_score:9.031995, valid_score:8.948021
2020-09-10 03:16:15,648 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 94/100:train_score:9.032769, valid_score:8.954085
2020-09-10 03:16:52,758 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 95/100:train_score:9.032052, valid_score:8.951873
2020-09-10 03:17:29,752 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 96/100:train_score:9.031579, valid_score:8.945997
2020-09-10 03:18:06,590 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 97/100:train_score:9.028749, valid_score:8.947349
